SDSS z u_mag sig_u_mag g_mag sig_g_mag r_mag sig_r_mag i_mag sig_i_mag z_mag sig_z_mag FIRST ROSAT Mp
093719.12+530818.7 0.6607 19.801 0.043 19.456 0.034 19.422 0.029 19.434 0.026 19.521 0.089  0.000 -9.000 -23.318
093719.43+565355.6 0.9560 20.520 0.074 20.317 0.027 20.117 0.029 20.115 0.041 19.825 0.095  0.000 -9.000 -23.539
093719.95+114312.3 1.1180 19.589 0.040 19.381 0.016 19.068 0.018 18.854 0.018 18.657 0.040  0.000 -9.000 -25.218
093720.06+081131.7 0.7817 19.053 0.029 18.894 0.024 18.844 0.018 18.728 0.022 18.654 0.035  0.000 -9.000 -24.477
093720.14+042044.8 1.5124 20.293 0.043 20.064 0.029 19.914 0.022 19.721 0.023 19.766 0.074  0.000 -9.000 -25.082
093720.59+460907.4 0.5359 19.637 0.035 19.393 0.026 19.429 0.023 19.043 0.021 18.789 0.046 12.617 -9.000 -23.193
093721.53+073058.6 1.3935 19.609 0.032 19.643 0.022 19.226 0.019 19.098 0.021 18.971 0.055  0.000 -9.000 -25.507
093721.70+021141.4 1.8869 19.268 0.032 19.277 0.022 19.381 0.021 19.090 0.022 19.122 0.075  0.000 -9.000 -26.211
093721.71+582524.0 1.6737 18.772 0.027 18.485 0.022 18.249 0.013 17.937 0.017 17.866 0.025 14.386 -9.000 -27.062
093722.20+420150.2 1.7436 20.555 0.052 20.371 0.027 20.444 0.028 20.203 0.033 20.215 0.109  0.000 -9.000 -24.868
093722.42+524205.6 0.8296 20.525 0.080 20.359 0.029 20.244 0.030 20.201 0.044 19.804 0.098  0.000 -9.000 -23.099
093722.85+025712.5 3.1652 22.192 0.251 20.186 0.036 19.887 0.024 19.893 0.031 19.833 0.087  0.000 -9.000 -26.566
093722.99+422635.4 1.6625 19.511 0.035 19.413 0.030 19.332 0.016 19.059 0.020 18.958 0.048  0.000 -9.000 -25.900
093723.39+082812.8 0.2878 18.982 0.024 18.908 0.017 18.589 0.015 18.472 0.016 17.872 0.024  0.000 -9.000 -22.332
093723.41+525116.1 1.8720 18.535 0.018 18.411 0.023 18.374 0.014 18.065 0.016 18.049 0.025  0.000 -9.000 -27.177
093723.47+391231.3 2.2261 18.489 0.022 18.123 0.019 18.035 0.022 18.046 0.018 17.869 0.026  0.000 -9.000 -27.596
093723.85+590652.5 0.4829 19.845 0.040 19.523 0.023 19.574 0.020 19.337 0.025 19.133 0.055  0.000 -9.000 -22.658
093724.17+053317.1 0.2735 19.599 0.035 19.250 0.033 18.853 0.021 18.732 0.022 18.439 0.033  0.000 -9.000 -22.027
093724.46+421550.2 1.9900 19.934 0.050 19.820 0.027 19.791 0.032 19.698 0.038 19.602 0.104  0.000 -9.000 -25.684
093724.55+444602.6 2.7608 21.714 0.123 19.999 0.020 19.785 0.021 19.990 0.026 19.645 0.069  0.000 -9.000 -26.134
093724.59+341538.8 1.4921 19.919 0.044 19.679 0.020 19.461 0.020 19.146 0.020 19.074 0.047 12.256 -9.000 -25.571
093725.40+401742.2 0.6120 19.974 0.040 19.373 0.025 19.292 0.022 19.049 0.020 19.151 0.059  0.000 -9.000 -23.511
093725.46+022828.7 1.1740 20.069 0.049 19.556 0.021 19.015 0.015 18.837 0.019 18.784 0.046  0.000 -9.000 -25.348
093725.51+011829.1 2.0611 20.566 0.076 20.363 0.034 20.091 0.031 20.112 0.044 19.932 0.123  0.000 -9.000 -25.444
093725.57+284612.5 1.7550 18.649 0.026 18.337 0.022 18.055 0.016 17.788 0.018 17.722 0.024  0.000 -9.000 -27.309
093725.81+352323.2 1.6013 19.546 0.029 19.208 0.018 19.155 0.022 18.964 0.014 18.889 0.031  0.000 -9.000 -25.907
093725.88+014928.6 1.4416 20.660 0.069 20.468 0.033 20.371 0.035 20.096 0.045 20.057 0.145  0.000 -9.000 -24.597
093725.92+374906.8 0.9981 19.200 0.026 19.141 0.016 18.928 0.026 19.125 0.022 19.040 0.046  0.000 -9.000 -24.625
093725.92+401014.7 0.8857 19.193 0.029 18.875 0.024 18.726 0.020 18.727 0.018 18.637 0.040  0.000 -9.000 -24.731
093726.70+092504.0 1.4850 19.856 0.049 19.536 0.031 19.437 0.025 19.206 0.021 19.244 0.069  0.000 -9.000 -25.536
093727.05+581609.5 1.9558 20.483 0.055 20.338 0.023 20.007 0.024 19.845 0.031 19.765 0.099  0.000 -9.000 -25.510
093727.19+425143.5 0.6301 19.751 0.049 19.276 0.026 19.226 0.016 19.037 0.021 19.020 0.039  0.000 -9.000 -23.592
093727.41+023759.5 1.7938 19.669 0.034 19.408 0.029 19.291 0.027 18.894 0.023 18.900 0.053  0.000 -9.000 -26.288
093728.13+415922.4 2.6818 20.781 0.061 19.286 0.022 19.014 0.015 18.874 0.018 18.508 0.036  0.000 -9.000 -27.181
093728.40+550251.2 2.2652 20.097 0.038 19.435 0.020 19.395 0.016 19.383 0.024 18.929 0.042  0.000 -9.000 -26.291
093728.58+324548.3 0.1272 16.082 0.010 16.258 0.023 16.274 0.012 15.779 0.011 15.967 0.013  0.000 -1.071 -23.068
093728.59+053750.3 0.3549 20.298 0.057 19.968 0.036 19.431 0.023 19.084 0.021 18.514 0.034  0.000 -9.000 -22.302
093728.69+463632.7 1.9436 19.180 0.031 19.112 0.041 19.120 0.018 18.946 0.026 18.865 0.056  0.000 -9.000 -26.371
093728.74+050401.7 1.0995 19.236 0.029 18.948 0.024 18.539 0.026 18.471 0.028 18.312 0.028  0.000 -9.000 -25.603
093729.11+590923.1 0.7038 20.387 0.053 19.992 0.027 20.006 0.021 19.920 0.030 19.709 0.077  0.000 -9.000 -22.991
093729.97+362954.8 1.4947 19.533 0.035 19.316 0.016 19.268 0.016 19.101 0.021 19.221 0.045 11.380 -9.000 -25.612
093731.21+060204.8 1.2935 19.486 0.046 19.287 0.033 19.028 0.020 18.951 0.018 18.965 0.057  0.000 -9.000 -25.511
093731.23+291702.5 1.7267 20.505 0.064 20.333 0.034 20.360 0.030 20.074 0.031 20.016 0.083 12.549 -9.000 -24.984
093731.70+405424.6 1.9285 18.424 0.024 18.324 0.031 18.251 0.036 18.085 0.019 18.049 0.034  0.000 -9.000 -27.227
093731.85+053205.4 0.3562 17.698 0.020 17.619 0.055 17.428 0.053 17.331 0.067 16.987 0.055 16.074 -9.000 -24.038
093732.04+413130.3 1.3991 20.277 0.053 20.173 0.024 20.009 0.021 19.981 0.026 19.885 0.074  0.000 -9.000 -24.583
093732.35+474631.9 0.2796 19.419 0.033 19.148 0.022 18.739 0.018 18.619 0.018 18.114 0.034  0.000 -9.000 -22.055
093732.45+313934.1 2.1284 20.122 0.061 19.574 0.022 19.193 0.020 18.905 0.020 18.546 0.034  0.000 -9.000 -26.635
093732.79+061602.7 2.1525 20.488 0.060 20.183 0.025 20.211 0.030 20.071 0.046 19.783 0.075 11.163 -9.000 -25.563
093732.80+543707.8 0.4690 17.305 0.019 17.042 0.014 17.286 0.016 17.171 0.013 17.017 0.015  0.000 -1.189 -24.760
093733.39+451936.4 1.9198 19.540 0.028 19.552 0.015 19.523 0.017 19.313 0.022 19.288 0.042  0.000 -9.000 -25.986
093733.97+052109.4 0.9759 19.750 0.049 19.574 0.020 19.401 0.028 19.428 0.036 19.293 0.057  0.000 -9.000 -24.369
093734.95+531259.9 0.2433 19.597 0.038 19.060 0.034 18.544 0.027 18.283 0.020 18.120 0.032  0.000 -9.000 -22.070
093735.37+533224.2 3.3819 25.744 0.732 19.625 0.034 18.925 0.021 18.755 0.019 18.583 0.033  0.000 -9.000 -27.812
093735.50+341649.1 1.8900 20.212 0.053 20.297 0.025 20.414 0.033 20.023 0.033 19.975 0.100  0.000 -9.000 -25.247
093736.74-000732.1 1.7887 20.414 0.049 20.008 0.022 19.671 0.026 19.206 0.021 18.984 0.048  0.000 -9.000 -25.989
093736.74-001908.2 0.9893 20.380 0.051 20.200 0.025 19.855 0.020 19.818 0.027 19.798 0.084  0.000 -9.000 -23.958
093737.25+515601.3 1.7856 20.042 0.047 20.025 0.063 19.921 0.034 19.674 0.027 19.603 0.071  0.000 -9.000 -25.451
093738.04+562838.8 1.7976 20.176 0.049 19.722 0.034 19.004 0.025 18.531 0.017 18.247 0.030  0.000 -9.000 -26.622
093738.61+591556.3 1.5013 20.244 0.044 20.110 0.023 20.029 0.029 19.828 0.033 19.731 0.079  0.000 -9.000 -24.904
093739.33+102417.7 0.9783 18.761 0.042 18.483 0.028 18.299 0.018 18.394 0.016 18.467 0.036  0.000 -9.000 -25.344
093739.89+334053.5 2.2262 19.718 0.031 19.153 0.022 19.053 0.022 19.037 0.024 18.752 0.037  0.000 -9.000 -26.598
093740.80+453017.7 0.4263 20.192 0.046 19.977 0.017 19.898 0.021 19.607 0.025 19.208 0.047  0.000 -1.630 -22.079
093740.99+030722.4 0.9816 19.181 0.027 19.021 0.020 18.827 0.016 18.921 0.015 18.908 0.036  0.000 -9.000 -24.827
093741.10+015706.6 1.4462 20.211 0.057 20.361 0.026 20.361 0.034 20.354 0.044 20.159 0.174  0.000 -9.000 -24.343
093742.13+503708.7 3.5990 25.012 1.000 21.205 0.039 20.216 0.027 20.085 0.037 20.023 0.094  0.000 -9.000 -26.605
093742.27+403351.2 2.2580 20.213 0.043 19.392 0.027 19.207 0.022 19.000 0.019 18.740 0.037  0.000 -9.000 -26.667
093742.86-004103.3 0.9585 18.585 0.019 18.361 0.016 18.116 0.016 18.088 0.016 18.125 0.025  0.000 -9.000 -25.595
093743.43+370429.8 1.2928 19.318 0.028 19.292 0.015 19.062 0.015 18.933 0.018 19.002 0.040  0.000 -1.751 -25.436
093743.49+463711.5 0.8778 21.346 0.167 20.517 0.048 20.307 0.031 20.254 0.039 19.781 0.108 15.774 -9.000 -23.177
093743.64+565525.4 0.9312 18.136 0.024 18.046 0.013 17.869 0.014 17.966 0.015 17.885 0.023  0.000 -9.000 -25.623
093744.85+325605.1 2.0435 19.090 0.025 18.958 0.024 18.894 0.015 18.795 0.016 18.613 0.038  0.000 -9.000 -26.650
093745.60+441909.4 2.7829 21.676 0.109 20.127 0.019 19.832 0.019 20.050 0.027 19.883 0.069  0.000 -9.000 -26.090
093746.00+473147.5 1.8479 20.555 0.065 20.284 0.034 20.271 0.035 19.936 0.034 19.965 0.119  0.000 -9.000 -25.270
093746.18+361649.8 0.7486 20.698 0.062 20.427 0.027 20.328 0.025 20.071 0.032 19.913 0.080 14.397 -9.000 -22.980
093746.47+471325.5 1.4890 19.578 0.039 19.579 0.026 19.520 0.024 19.384 0.028 19.568 0.087  0.000 -9.000 -25.313
093746.47+114038.4 4.3565 24.312 0.779 22.665 0.110 20.092 0.029 19.486 0.024 19.144 0.053  0.000 -9.000 -27.688
093746.83+532724.8 1.4943 20.344 0.048 20.269 0.061 20.117 0.028 19.891 0.029 19.958 0.090  0.000 -9.000 -24.824
093747.79+461257.4 0.5021 19.312 0.028 19.033 0.025 19.223 0.021 18.998 0.021 18.843 0.050  0.000 -9.000 -23.081
093747.95+431126.8 2.0888 20.332 0.066 20.419 0.050 20.337 0.050 20.302 0.060 19.989 0.111  0.000 -9.000 -25.185
093748.46+284855.0 0.9510 19.308 0.032 19.162 0.024 19.034 0.020 19.124 0.042 19.070 0.057  0.000 -9.000 -24.516
093748.47+034230.5 1.4723 18.732 0.035 18.643 0.018 18.420 0.012 18.230 0.020 18.224 0.032  0.000 -9.000 -26.494
093749.03+285128.8 2.2057 19.488 0.031 19.146 0.021 19.065 0.020 18.886 0.021 18.655 0.033  0.000 -9.000 -26.737
093749.13+032149.1 2.3590 19.916 0.048 19.555 0.023 19.519 0.020 19.479 0.024 19.348 0.054  0.000 -9.000 -26.331
093749.53+084811.8 1.3115 18.829 0.027 18.427 0.023 17.959 0.020 17.743 0.018 17.613 0.027  0.000 -9.000 -26.716
093749.58+065656.2 1.8096 19.680 0.037 19.426 0.024 19.243 0.017 18.985 0.018 18.909 0.041  0.000 -9.000 -26.236
093749.70+424957.8 1.4946 19.062 0.035 18.895 0.024 18.763 0.030 18.572 0.029 18.599 0.036  0.000 -9.000 -26.138
093749.89+342457.3 1.1303 20.169 0.038 20.206 0.020 19.582 0.016 19.682 0.025 19.735 0.055 14.547 -9.000 -24.374
093750.13+020827.1 1.6899 20.294 0.056 20.018 0.026 19.954 0.032 19.676 0.031 19.743 0.116  0.000 -9.000 -25.375
093750.37+524400.9 1.6927 20.468 0.070 20.306 0.027 20.289 0.029 19.960 0.034 20.142 0.127  0.000 -9.000 -25.044
093750.55+395629.7 1.5779 19.241 0.033 19.057 0.021 19.084 0.023 18.876 0.019 18.854 0.048  0.000 -9.000 -25.968
093751.04+092239.0 0.8525 19.177 0.040 18.820 0.033 18.684 0.022 18.641 0.024 18.491 0.039  0.000 -9.000 -24.773
093751.15+095448.4 1.7852 20.294 0.070 20.218 0.031 20.298 0.034 19.973 0.034 19.807 0.117  0.000 -9.000 -25.193
093751.21+545017.4 1.6677 20.447 0.078 20.276 0.028 20.212 0.030 19.783 0.031 19.877 0.124  0.000 -9.000 -25.191
093751.60+073041.3 3.2779 24.474 0.842 20.690 0.032 20.075 0.026 20.010 0.034 20.069 0.147  0.000 -9.000 -26.552
093751.75+023004.2 2.2950 20.552 0.068 19.904 0.023 19.802 0.023 19.594 0.029 19.509 0.106  0.000 -9.000 -26.154
093751.80-003007.9 0.7480 20.228 0.048 19.858 0.019 19.765 0.024 19.626 0.026 19.436 0.069  0.000 -9.000 -23.469
093751.91+292343.9 2.5607 19.555 0.044 18.866 0.025 18.841 0.019 18.823 0.018 18.608 0.032  0.000 -9.000 -27.136
093752.42+472220.6 2.0393 20.031 0.047 20.006 0.032 19.964 0.031 19.985 0.034 19.976 0.124  0.000 -9.000 -25.441
093752.65+521330.2 1.7779 20.149 0.060 20.334 0.030 20.412 0.045 20.177 0.036 19.975 0.108  0.000 -9.000 -24.937
093752.72+115622.7 0.9722 18.580 0.023 18.398 0.034 18.146 0.015 18.157 0.019 18.077 0.029  0.000 -9.000 -25.566
093753.26+381625.3 3.1910 21.055 0.097 19.142 0.025 18.976 0.018 18.977 0.023 19.034 0.048  0.000 -9.000 -27.466
093753.67+272022.1 1.1016 19.220 0.029 19.017 0.023 18.660 0.013 18.753 0.018 18.789 0.041  0.000 -9.000 -25.244
093753.73+024000.3 3.1593 20.922 0.070 19.350 0.017 19.133 0.020 19.079 0.020 19.116 0.043  0.000 -9.000 -27.377
093754.11+555613.5 2.4588 20.419 0.058 19.815 0.021 19.752 0.025 19.731 0.031 19.386 0.091  0.000 -9.000 -26.145
093754.96+485215.8 0.9574 19.019 0.027 18.863 0.027 18.685 0.024 18.664 0.021 18.579 0.041  0.000 -9.000 -24.992
093755.49+424556.8 3.7996 23.600 0.866 21.292 0.054 20.201 0.040 20.080 0.048 20.165 0.121  0.000 -9.000 -26.738
093755.89+452639.1 2.0425 19.015 0.024 19.069 0.022 19.097 0.017 18.978 0.030 18.731 0.035  0.000 -9.000 -26.461
093756.02+594706.7 0.8877 19.866 0.040 19.804 0.021 19.733 0.023 19.699 0.030 19.435 0.066  0.000 -9.000 -23.779
093756.18+104808.2 0.2754 17.957 0.021 17.886 0.022 17.854 0.021 17.886 0.022 17.460 0.023  0.000 -9.000 -22.792
093756.29+403850.9 1.2278 19.364 0.037 19.098 0.022 18.822 0.022 18.750 0.024 18.820 0.051  0.000 -9.000 -25.500
093756.53+092216.0 1.7461 18.033 0.032 17.827 0.031 17.772 0.017 17.621 0.020 17.612 0.027  0.000 -9.000 -27.503
093756.64+000508.8 1.0756 20.402 0.051 20.229 0.022 19.994 0.023 20.011 0.032 19.995 0.119  0.000 -9.000 -23.996
093756.68+370823.1 1.7732 20.418 0.051 20.245 0.021 20.305 0.026 20.108 0.033 20.228 0.102  0.000 -9.000 -25.003
093757.36+515609.8 0.3413 18.995 0.025 18.843 0.061 18.718 0.029 18.603 0.021 18.092 0.031  0.000 -9.000 -22.546
093757.39+321122.9 2.2466 19.190 0.028 18.567 0.017 18.515 0.019 18.474 0.019 18.409 0.032  0.000 -9.000 -27.192
093757.52+371808.8 1.7607 19.408 0.038 19.353 0.020 19.401 0.022 19.071 0.021 19.052 0.059  0.000 -9.000 -26.021
093758.14+013033.2 1.5073 20.294 0.063 20.179 0.027 19.733 0.022 19.393 0.023 19.443 0.081  0.000 -9.000 -25.443
093758.35+403524.2 2.2052 18.949 0.024 18.552 0.026 18.421 0.020 18.345 0.015 18.134 0.027  0.000 -9.000 -27.271
093758.53+372505.0 0.4937 18.739 0.032 18.546 0.018 18.737 0.020 18.554 0.019 18.440 0.039  0.000 -9.000 -23.482
093759.08+483441.1 1.9789 20.064 0.060 19.936 0.022 19.988 0.036 19.817 0.034 19.395 0.093  0.000 -9.000 -25.566
093759.43+542427.3 1.0667 20.487 0.057 20.170 0.025 19.810 0.021 19.876 0.034 19.712 0.097  0.000 -9.000 -24.041
093759.60+453801.9 0.4286 19.273 0.024 18.757 0.019 18.601 0.016 18.290 0.026 18.028 0.022  0.000 -9.000 -23.405
093759.81-004051.4 2.0655 19.852 0.039 19.866 0.020 19.818 0.023 19.593 0.024 19.288 0.051  0.000 -9.000 -25.906
093800.32+435719.1 1.8832 21.121 0.091 20.580 0.023 20.314 0.025 20.053 0.025 20.157 0.084 15.263 -9.000 -25.198
093800.63+100954.5 3.5292 26.119 0.953 20.747 0.036 19.921 0.030 19.701 0.034 19.677 0.095  0.000 -9.000 -26.994
093801.10+591638.4 1.0221 20.397 0.054 20.124 0.023 19.879 0.026 19.877 0.034 19.660 0.075  0.000 -9.000 -23.938
093801.18+090004.4 2.1593 18.932 0.031 18.558 0.023 18.433 0.020 18.145 0.030 17.881 0.026  0.000 -9.000 -27.475
093801.86+421603.3 1.7145 19.481 0.049 19.144 0.026 19.041 0.021 18.914 0.037 18.910 0.055  0.000 -9.000 -26.122
093801.87+380222.7 0.6729 19.048 0.028 18.735 0.019 18.805 0.017 18.901 0.018 18.934 0.036  0.000 -1.691 -23.894
093802.17+484258.1 0.3889 20.311 0.049 19.954 0.024 19.593 0.019 19.361 0.019 18.991 0.044  0.000 -1.483 -22.121
093802.76+270958.3 1.3898 18.759 0.026 18.706 0.018 18.499 0.015 18.429 0.017 18.500 0.034  0.000 -9.000 -26.121
093803.02+092250.8 1.0111 20.308 0.070 19.968 0.034 19.671 0.024 19.722 0.030 19.578 0.080  0.000 -9.000 -24.106
093803.37+015632.2 0.8689 19.974 0.048 19.738 0.024 19.518 0.021 19.434 0.027 19.275 0.077  0.000 -9.000 -24.065
093804.52+120011.4 2.2273 19.778 0.033 19.046 0.035 18.562 0.016 18.268 0.019 17.996 0.028 13.708 -9.000 -27.400
093805.08+524443.4 1.5842 19.056 0.037 18.913 0.020 18.963 0.016 18.746 0.021 18.738 0.044  0.000 -9.000 -26.103
093805.42-000637.6 2.0980 19.918 0.038 19.650 0.017 19.381 0.021 19.256 0.019 19.139 0.055  0.000 -9.000 -26.330
093805.58+043441.1 1.8692 20.226 0.052 19.783 0.027 19.468 0.017 19.034 0.018 18.904 0.039  0.000 -9.000 -26.263
093805.58+081534.2 0.9858 20.504 0.054 20.218 0.024 19.896 0.023 19.928 0.035 19.735 0.083  0.000 -9.000 -23.853
093806.36-003629.2 1.4660 20.168 0.047 19.941 0.022 19.672 0.021 19.513 0.023 19.504 0.074  0.000 -9.000 -25.198
093806.71+354730.2 1.3361 19.511 0.027 19.561 0.023 19.100 0.024 19.086 0.027 19.159 0.044  0.000 -9.000 -25.354
093806.82+035702.7 0.9332 18.422 0.020 18.234 0.018 18.101 0.013 18.202 0.015 18.077 0.027  0.000 -9.000 -25.431
093807.55+532521.3 1.8857 19.560 0.029 19.703 0.059 19.624 0.023 19.236 0.020 19.122 0.058  0.000 -9.000 -26.022
093808.10+365004.2 1.1063 18.955 0.025 18.832 0.020 18.605 0.021 18.655 0.030 18.724 0.044  0.000 -9.000 -25.337
093808.10+385453.9 1.6691 19.083 0.029 18.878 0.021 18.813 0.020 18.616 0.016 18.624 0.039  0.000 -9.000 -26.358
093808.20+462758.2 2.0245 20.059 0.051 19.659 0.018 19.333 0.019 19.002 0.019 18.763 0.047  0.000 -9.000 -26.409
093809.52+450420.5 1.5462 17.690 0.021 17.502 0.013 17.373 0.018 17.219 0.027 17.187 0.024  0.000 -9.000 -27.575
093810.59+092623.6 1.2309 19.127 0.064 18.964 0.044 18.837 0.021 18.750 0.022 18.860 0.051  0.000 -9.000 -25.553
093811.22+284059.0 1.8913 19.166 0.028 19.179 0.033 19.048 0.016 18.753 0.022 18.780 0.038  0.000 -9.000 -26.517
093811.33+023938.3 0.4757 19.194 0.025 18.704 0.030 18.745 0.020 18.514 0.019 18.349 0.033  0.000 -9.000 -23.477
093812.03+373629.6 2.0511 18.600 0.024 18.605 0.021 18.611 0.017 18.517 0.022 18.291 0.028  0.000 -9.000 -26.930
093812.44+475523.4 1.5245 18.412 0.038 18.257 0.037 18.080 0.020 17.858 0.027 17.842 0.025  0.000 -9.000 -26.903
093812.89+020137.9 1.6345 18.702 0.026 18.436 0.020 18.336 0.016 18.182 0.019 18.140 0.036  0.000 -9.000 -26.816
093813.46+093853.7 3.8048 23.834 0.989 21.475 0.052 20.119 0.031 20.051 0.041 19.884 0.124  0.000 -9.000 -26.821
093813.78+593504.1 1.8922 20.289 0.060 20.412 0.033 20.373 0.029 19.994 0.029 19.741 0.083  0.000 -9.000 -25.279
093814.16+284402.3 0.5241 18.338 0.019 18.044 0.020 18.094 0.018 18.016 0.019 18.074 0.023  0.000 -1.373 -24.176
093814.81+020023.5 0.1741 18.126 0.022 18.076 0.020 17.773 0.015 17.338 0.018 17.354 0.027  0.000 -1.469 -22.313
093814.81+414638.8 0.6233 19.792 0.042 19.286 0.024 19.189 0.024 19.038 0.024 19.136 0.064  0.000 -9.000 -23.569
093815.87+442425.4 1.7752 19.748 0.031 19.601 0.015 19.690 0.018 19.565 0.024 19.583 0.054  0.000 -9.000 -25.552
093816.91+034649.0 3.4246 22.457 0.317 19.225 0.021 18.693 0.013 18.578 0.017 18.458 0.037  0.000 -9.000 -28.063
093818.34+534544.1 1.0926 20.240 0.051 20.049 0.047 19.841 0.031 19.834 0.031 19.783 0.085  0.000 -9.000 -24.135
093818.35+390809.8 1.3049 20.651 0.072 20.423 0.028 19.978 0.027 19.836 0.033 19.634 0.078 14.223 -9.000 -24.560
093819.08+503912.0 1.6922 19.835 0.036 19.465 0.018 19.358 0.018 19.133 0.024 19.094 0.044  0.000 -9.000 -25.861
093819.25+361858.7 1.6776 19.790 0.057 19.425 0.019 19.310 0.019 19.068 0.022 19.104 0.044 13.831 -9.000 -25.913
093819.42+030156.1 1.1873 20.166 0.048 20.307 0.027 19.900 0.021 19.825 0.024 20.104 0.096  0.000 -9.000 -24.378
093819.55+044533.4 3.6746 25.225 0.867 21.500 0.050 20.238 0.026 20.118 0.032 20.264 0.127  0.000 -9.000 -26.692
093819.88+603842.8 2.7269 23.285 0.772 20.813 0.045 20.078 0.033 19.603 0.036 19.119 0.057  0.000 -9.000 -26.518
093820.28+463222.0 1.5687 19.782 0.042 19.534 0.017 19.514 0.020 19.329 0.021 19.381 0.069  0.000 -9.000 -25.489
093820.49+574442.0 1.9571 19.750 0.037 19.704 0.031 19.670 0.027 19.461 0.028 19.439 0.069  0.000 -9.000 -25.890
093820.68+105020.7 1.7550 18.694 0.024 18.656 0.022 18.661 0.021 18.362 0.022 18.389 0.030  0.000 -9.000 -26.767
093820.94+305121.5 0.4042 19.314 0.037 19.050 0.018 18.984 0.018 18.804 0.016 18.419 0.026  0.000 -9.000 -22.761
093821.62+012619.2 2.4101 20.656 0.080 20.072 0.031 19.989 0.033 19.989 0.038 19.842 0.103  0.000 -9.000 -25.921
093821.85+361429.5 1.0682 20.365 0.067 20.020 0.023 19.789 0.022 19.811 0.029 19.833 0.079  0.000 -9.000 -24.098
093823.57+334610.4 2.7210 20.521 0.064 19.280 0.027 19.114 0.032 19.131 0.023 19.049 0.052  0.000 -9.000 -26.961
093825.04+602257.1 1.6925 19.335 0.028 19.048 0.016 18.912 0.024 18.718 0.018 18.688 0.033  0.000 -9.000 -26.309
093825.08+435430.3 1.5251 20.201 0.046 20.161 0.020 20.092 0.022 19.958 0.024 20.127 0.081  0.000 -9.000 -24.802
093825.46+622425.0 1.1722 19.383 0.026 19.231 0.024 18.842 0.014 18.732 0.018 18.820 0.037  0.000 -9.000 -25.450
093825.53+310810.8 2.3859 19.281 0.029 18.668 0.025 18.608 0.019 18.566 0.015 18.332 0.024  0.000 -9.000 -27.235
093826.15+430214.9 1.7109 20.438 0.050 20.460 0.035 20.506 0.028 20.161 0.033 20.058 0.095  0.000 -9.000 -24.866
093826.21+022038.3 0.4397 18.608 0.024 18.464 0.018 18.586 0.016 18.369 0.021 18.150 0.030  0.000 -1.720 -23.440
093826.71+430808.1 2.1084 20.065 0.041 20.103 0.032 20.149 0.023 20.020 0.031 19.869 0.080  0.000 -9.000 -25.491
093826.97+541919.5 1.7914 18.710 0.024 18.551 0.011 18.545 0.013 18.271 0.016 18.235 0.026  0.000 -9.000 -26.866
093828.34+024751.1 1.6576 18.995 0.028 18.814 0.021 18.774 0.019 18.589 0.020 18.572 0.040  0.000 -9.000 -26.407
093828.49+032437.6 2.1286 20.576 0.054 20.270 0.024 19.976 0.022 19.958 0.026 19.659 0.070  0.000 -9.000 -25.614
093828.55+021119.9 1.3085 19.712 0.036 19.265 0.032 18.954 0.021 18.736 0.021 18.691 0.049  0.000 -9.000 -25.716
093828.71+602516.1 0.4844 17.839 0.020 17.670 0.014 17.742 0.022 17.644 0.015 17.540 0.018  0.000 -1.373 -24.373
093829.93+082008.3 1.7369 19.750 0.033 19.543 0.024 19.541 0.018 19.266 0.022 19.265 0.060  0.000 -9.000 -25.853
093831.16+031327.3 1.1810 19.876 0.046 19.975 0.025 19.653 0.021 19.711 0.028 19.972 0.090  0.000 -9.000 -24.482
093832.04+373207.2 1.9049 18.786 0.030 18.722 0.019 18.661 0.020 18.475 0.018 18.401 0.038  0.000 -9.000 -26.800
093832.81+020448.7 1.6471 20.456 0.068 20.035 0.022 19.803 0.023 19.391 0.027 19.388 0.083  0.000 -9.000 -25.621
093832.87+560619.8 1.7771 20.366 0.059 20.105 0.026 20.219 0.031 19.964 0.033 20.158 0.184  0.000 -9.000 -25.169
093833.15+295501.2 1.5481 19.061 0.027 18.686 0.019 18.393 0.017 18.077 0.014 18.072 0.025  0.000 -9.000 -26.724
093833.51+445603.4 3.7036 20.415 0.048 19.629 0.023 18.755 0.014 18.740 0.018 18.800 0.036  0.000 -9.000 -28.024
093834.29+335747.4 0.7914 19.266 0.037 18.975 0.026 18.845 0.031 19.021 0.022 18.903 0.045  0.000 -9.000 -24.183
093834.57+421456.6 0.3807 17.780 0.035 17.660 0.025 17.751 0.019 17.771 0.034 17.405 0.021  0.000 -1.196 -23.640
093834.60+314630.7 0.5681 18.519 0.026 18.265 0.024 18.329 0.021 18.241 0.016 18.303 0.030  0.000 -9.000 -24.147
093835.19+595537.2 1.9618 20.464 0.062 20.477 0.027 20.321 0.029 20.158 0.037 20.194 0.131  0.000 -9.000 -25.202
093835.47+592038.3 0.3809 19.776 0.039 19.565 0.019 19.224 0.022 19.018 0.024 18.533 0.033  0.000 -9.000 -22.409
